"","id","GDPINH_2016"
"370","DE502",33700
"371","DE6",61500
"372","DE60",61500
"373","DE600",61500
"374","DE7",43800
"375","DE71",49500
"376","DE711",75800
"377","DE712",92700
"378","DE713",37000
"379","DE714",61100
"380","DE715",27500
"381","DE716",26800
"382","DE717",44000
"383","DE718",45200
"384","DE719",33400
"385","DE71A",53800
"386","DE71B",26100
"387","DE71C",40400
"388","DE71D",23500
"389","DE71E",28000
"390","DE72",32300
"391","DE721",34900
"392","DE722",32600
"393","DE723",28400
"394","DE724",34700
"395","DE725",26100
"396","DE73",35200
"397","DE731",49000
"398","DE732",35700
"399","DE733",34200
"400","DE734",32200
"401","DE735",30000
"402","DE736",35700
"403","DE737",24000
"404","DE8",25500
"405","DE80",25500
"406","DE803",34200
"407","DE804",37300
"408","DE80J",25600
"409","DE80K",23200
"410","DE80L",22700
"411","DE80M",21900
"412","DE80N",22900
"413","DE80O",22400
"414","DE9",35300
"415","DE91",46400
"416","DE911",71700
"417","DE912",50200
"418","DE913",177400
"419","DE914",20500
"420","DE916",27800
"421","DE917",19300
"422","DE918",28100
"423","DE91A",20800
"424","DE91B",19500
"425","DE91C",33300
"426","DE92",36600
"427","DE922",29500
"428","DE923",33300
"429","DE925",27100
"430","DE926",30000
"431","DE927",29200
"432","DE928",24000
"433","DE929",43600
"434","DE93",26200
"435","DE931",27900
"436","DE932",21200
"437","DE933",22500
"438","DE934",24900
"439","DE935",26300
"440","DE936",19400
"441","DE937",30300
"442","DE938",30900
"443","DE939",29200
"444","DE93A",26300
"445","DE93B",29400
"446","DE94",33400
"447","DE941",22200
"448","DE942",70000
"449","DE943",44500
"450","DE944",47500
"451","DE945",39100
"452","DE946",28300
"453","DE947",25000
"454","DE948",32500
"455","DE949",39300
"456","DE94A",25800
"457","DE94B",30000
"458","DE94C",24200
"459","DE94D",22500
"460","DE94E",28700
"461","DE94F",42800
"462","DE94G",33900
"463","DE94H",24100
"464","DEA",36500
"465","DEA1",38900
"466","DEA11",76800
"467","DEA12",32900
"468","DEA13",40900
"469","DEA14",36700
"470","DEA15",32400
"471","DEA16",32300
"472","DEA17",26900
"473","DEA18",34900
"474","DEA19",30100
"475","DEA1A",36500
"476","DEA1B",28300
"477","DEA1C",37700
"478","DEA1D",38700
"479","DEA1E",27300
"480","DEA1F",27000
"481","DEA2",40200
"482","DEA22",69900
"483","DEA23",57900
"484","DEA24",45300
"485","DEA26",28000
"486","DEA27",34300
"487","DEA28",26100
"488","DEA29",23800
"489","DEA2A",34200
"490","DEA2B",25000
"491","DEA2C",26600
"492","DEA2D",35700
"493","DEA3",31300
"494","DEA31",20200
"495","DEA32",29000
"496","DEA33",51700
"497","DEA34",35400
"498","DEA35",27400
"499","DEA36",24300
"500","DEA37",30600
"501","DEA38",29900
"502","DEA4",35900
"503","DEA41",38300
"504","DEA42",45400
"505","DEA43",32200
"506","DEA44",26400
"507","DEA45",28400
"508","DEA46",39200
"509","DEA47",34600
"510","DEA5",32700
"511","DEA51",31700
"512","DEA52",35600
"513","DEA53",32700
"514","DEA54",27600
"515","DEA55",21900
"516","DEA56",29200
"517","DEA57",34200
"518","DEA58",35100
"519","DEA59",38000
"520","DEA5A",38100
"521","DEA5B",33300
"522","DEA5C",29100
"523","DEB",33600
"524","DEB1",31300
"525","DEB11",65200
"526","DEB12",24600
"527","DEB13",25600
"528","DEB14",28600
"529","DEB15",27700
"530","DEB17",30200
"531","DEB18",29600
"532","DEB1A",24500
"533","DEB1B",31400
"534","DEB1C",27900
"535","DEB1D",32300
"536","DEB2",29300
"537","DEB21",42100
"538","DEB22",31500
"539","DEB23",26500
"540","DEB24",30500
"541","DEB25",19300
"542","DEB3",36400
"543","DEB31",32300
"544","DEB32",47900
"545","DEB33",41000
"546","DEB34",83800
"547","DEB35",54900
"548","DEB36",29700
"549","DEB37",37000
"550","DEB38",49500
"551","DEB39",35300
"552","DEB3A",44300
"553","DEB3B",23300
"554","DEB3C",21300
"555","DEB3D",28100
"556","DEB3E",36900
"557","DEB3F",20100
"558","DEB3G",16800
"559","DEB3H",25800
"560","DEB3I",19100
"561","DEB3J",35100
"562","DEB3K",15500
"563","DEC",34500
"564","DEC0",34500
"565","DEC01",43000
"566","DEC02",25300
"567","DEC03",24900
"568","DEC04",32800
"569","DEC05",38000
"570","DEC06",25900
"571","DED",28700
"572","DED2",29100
"573","DED21",38000
"574","DED2C",24400
"575","DED2D",24900
"576","DED2E",27000
"577","DED2F",21900
"578","DED4",26700
"579","DED41",33700
"580","DED42",22100
"581","DED43",25900
"582","DED44",23800
"583","DED45",29300
"584","DED5",30800
"585","DED51",35200
"586","DED52",24800
"587","DED53",26100
"588","DEE",26400
"589","DEE0",26400
"590","DEE01",28300
"591","DEE02",29500
"592","DEE03",33200
"593","DEE04",23400
"594","DEE05",27400
"595","DEE06",23500
"596","DEE07",26800
"597","DEE08",24100
"598","DEE09",22300
"599","DEE0A",19400
"600","DEE0B",32500
"601","DEE0C",23600
"602","DEE0D",23800
"603","DEE0E",24500
"604","DEF",30500
"605","DEF0",30500
"606","DEF01",39900
"607","DEF02",44200
"608","DEF03",37300
"609","DEF04",39700
"610","DEF05",30600
"611","DEF06",21700
"612","DEF07",33600
"613","DEF08",24900
"614","DEF09",28600
"615","DEF0A",18600
"616","DEF0B",26800
"617","DEF0C",24200
"618","DEF0D",29900
"619","DEF0E",31000
"620","DEF0F",32400
"621","DEG",27400
"622","DEG0",27400
"623","DEG01",39500
"624","DEG02",27300
"625","DEG03",41400
"626","DEG04",31400
"627","DEG05",29100
"628","DEG06",24700
"629","DEG07",25400
"630","DEG09",23400
"631","DEG0A",20800
"632","DEG0B",26800
"633","DEG0C",26600
"634","DEG0D",23600
"635","DEG0E",22700
"636","DEG0F",27100
"637","DEG0G",22400
"638","DEG0H",27300
"639","DEG0I",24700
"640","DEG0J",21400
"641","DEG0K",25700
"642","DEG0L",21500
"643","DEG0M",21000
"644","DEG0N",40800
"645","DEG0P",25200
"646","DK",49400
