id,GDPINH_2016
UKC1,24463.8570565555
UKC2,28837.2601575728
UKD1,31642.8635876049
UKD3,31739.7053063077
UKD4,29420.66992007
UKD6,43440.9939644084
UKD7,27224.0468091323
UKE1,27710.3055831889
UKE2,30880.8745236873
UKE3,25137.8238236875
UKE4,30804.4194323109
UKF1,28491.0976678917
UKF2,32495.6401188413
UKF3,24268.702594972
UKG1,33875.9562026419
UKG2,26741.6717248814
UKG3,30794.5303733182
UKH1,32637.0602476208
UKH2,37545.6540935765
UKH3,28693.5649756776
UKI3,217771.66573339
UKI4,58245.0958666415
UKI5,25252.269838146
UKI6,31189.2833213381
UKI7,44275.2153489294
UKJ1,50996.3952598807
UKJ2,38197.2142178736
UKJ3,36232.7926862224
UKJ4,30039.2735173694
UKK1,37310.3242548919
UKK2,28404.8059951639
UKK3,23904.874471635
UKK4,27375.9984567559
UKL1,22964.6751699775
UKL2,32679.3165058523
UKM2,32732.9491778406
UKM3,30836.2862582022
UKM5,51361.3505820108
UKM6,33694.6234082529
UKN0,28173.8167241773
CH01,44418.07
CH02,38721.88
CH03,51173.14
CH04,56462.12
CH05,40871.44
CH06,43665
CH07,35029.52
LI000,160000
IS00,55900
